date,US_bonds_11,US_bonds_12,US_bonds_13,US_bonds_14,US_bonds_15,US_bonds_16,US_bonds_17,US_bonds_18,US_bonds_19,US_bonds_20
May-84,-0.08474973,-0.077406885,-0.059925597,-0.056227631,-0.060125705,-0.052526308,-0.056344454,-0.052182444,-0.043677759,-0.038409564
Jun-84,-0.042856603,-0.028302427,-0.016121364,-0.013202537,-0.007080773,-0.006857111,0.001378233,0.001213425,0.00555967,-0.01802402
Jul-84,-0.014274798,0.004566715,0.019650619,0.030962884,0.033822588,0.034609598,0.026766648,0.02588986,0.032936919,0.011988495
Aug-84,-0.02581302,-0.014310696,-0.001798107,0.002520538,0.00330927,0.006345646,0.006960825,0.010159915,0.017112672,0.007501913
Sep-84,-0.026364053,-0.007169519,0.003570216,0.00451902,0.01024737,0.010933557,0.015674751,0.02026473,0.030991473,0.030947357
Oct-84,-0.016000388,0.013113252,0.020480784,0.029607156,0.03574648,0.034889323,0.037010194,0.037656844,0.039989011,0.037112905
Nov-84,-0.012650441,-0.000310541,0.002105482,0.002072949,0.000877984,-0.00075642,0.004423526,0.008936776,0.01482122,0.025369223
Dec-84,-0.00843999,0.002383511,0.001267527,0.00849411,0.008672175,0.005864783,-0.006634455,-0.000787592,0.004373664,0.010201438
Jan-85,0.000884506,0.003434518,0.013017154,0.01926805,0.014450593,0.017428806,0.017971347,0.01885387,0.022512533,0.016998082
Feb-85,-0.037954727,-0.050955009,-0.041770582,-0.041934973,-0.044188768,-0.047203831,-0.044876386,-0.026744218,-0.012270098,0.003019717
Mar-85,-0.017367375,-0.008515968,-0.005264827,-6.09E-05,-0.002258038,0.001322053,0.006347183,0.009293102,0.016593636,0.023367379
Apr-85,-0.008422455,-0.003093024,-0.002925371,0.007712029,0.00643662,0.009973233,0.014905256,0.010166612,-0.006603429,0.007137894
May-85,0.020807013,0.045893078,0.048044288,0.05385123,0.055862457,0.058433745,0.064028426,0.045931082,0.039426165,0.032953704
Jun-85,-0.010003703,-0.002397341,-0.00600071,-0.007019937,-0.001378823,-0.00608718,0.002884177,0.008844167,0.021471129,0.035918533
Jul-85,-0.02921968,-0.023598243,-0.021602497,-0.020626259,-0.023716981,-0.021002082,-0.021479098,-0.003141396,0.008217638,0.029999701
Aug-85,-0.005836406,0.004741929,0.009093394,0.014693645,0.011050176,0.007428998,0.010697904,0.005451375,0.016634024,0.0262948
Sep-85,-0.023246793,-0.020887964,-0.019501429,-0.018522088,-0.020055226,-0.015917181,-0.007328751,-0.008971693,0.005562179,0.029014674
Oct-85,-0.008316786,0.004309401,0.004663416,0.009527822,0.008891138,0.010246025,0.016443908,0.011107421,0.014014065,0.029248801
Nov-85,-0.0066616,0.011043406,0.014855621,0.015492244,0.021213879,0.020469011,0.02111679,0.021199886,0.015031299,0.035046261
Dec-85,0.012305053,0.021018737,0.024137131,0.029232322,0.032797401,0.03006661,0.034467902,0.02361634,0.021638551,0.047373891
Jan-86,-0.010115807,-0.01336265,-0.006467797,-0.00783722,-0.001134595,0.00082063,0.006741808,0.011493727,0.019915052,0.023882543
Feb-86,0.045322723,0.048438924,0.048160829,0.047074868,0.045449083,0.046933666,0.041899195,0.03806784,0.038533459,0.054001066
Mar-86,0.063138206,0.028416218,0.023252933,0.022883936,0.023929744,0.026762845,0.03116451,0.029438407,0.045482585,0.057870295
Apr-86,0.002920708,-0.011148442,-0.009650965,-0.004189264,5.88E-05,0.005568112,0.017974805,0.014303645,0.028218957,0.053507325
May-86,-0.025994692,-0.039929545,-0.037800842,-0.029862722,-0.02097583,-0.018163,-0.003999679,0.003053262,0.020327698,0.026711925
Jun-86,0.006215421,0.011032977,0.015646144,0.017821515,0.020091803,0.026517914,0.028675944,0.022944091,0.034443868,0.053609984
Jul-86,0.008448463,2.12E-05,-0.011567483,-0.001635473,0.006508057,0.012042707,0.019363124,0.022222703,0.031801392,0.032237866
Aug-86,0.023775616,0.022685467,0.021444837,0.025349082,0.024988857,0.028884742,0.032239262,0.026186469,0.026711617,0.051608114
Sep-86,-0.0105598,-0.021517543,-0.025841585,0.002660678,0.013003102,0.002386346,0.009386921,0.046932777,0.030998299,0.03878056
Oct-86,0.011456259,0.013418773,0.010534999,0.015826931,0.020675583,0.021399274,0.021492685,0.035529148,0.030559109,0.052512269
Nov-86,0.001787486,0.008579616,0.009037915,0.014018355,0.022639443,0.02436531,0.030739993,0.032237018,0.035237152,0.028761284
Dec-86,0.003619324,-0.000535586,-0.004790473,0.004041875,0.013552674,0.014173369,0.020584654,0.064578303,0.033807635,0.058830005
Jan-87,0.006581238,0.010870129,0.016412537,0.01891178,0.021715905,0.030793116,0.036055322,0.050285024,0.039350733,0.050877859
Feb-87,-0.003160982,-0.002316992,-0.004291231,-0.000617867,0.00512254,0.008949179,0.017024333,0.021234679,0.031851171,0.048735869
Mar-87,-0.010518345,-0.013015479,-0.020150559,-0.010834885,-0.010193345,-0.006044751,0.003172308,0.012053155,0.019806626,0.052944467
Apr-87,-0.033640767,-0.057196683,-0.049272706,-0.043747118,-0.042142411,-0.045245244,-0.039167318,-0.017510706,-0.001244295,0.032905604
May-87,-0.021741133,-0.032684425,-0.020866549,-0.013502175,-0.012415284,0.00402868,0.032013589,0.020488986,0.006948192,0.041935244
Jun-87,0.034201265,-0.003348333,-0.000765166,0.004426672,0.009640527,0.013407751,0.015460222,0.019809382,0.00946114,0.018317341
Jul-87,-0.00497481,-0.012810331,-0.023903327,-0.012169874,-0.009193637,-0.013653257,-0.004144947,0.050558247,0.012818595,0.022651692
Aug-87,-0.00917166,-0.018515648,-0.025517842,-0.01673545,-0.016593349,-0.01129794,-0.005273398,0.001364594,0.006972628,0.010749102
Sep-87,0.111832109,-0.046463032,-0.037451635,-0.017123497,-0.047082732,-0.041505191,-0.039037625,-0.034676121,-0.020720919,0.001083138
Oct-87,-0.049514012,0.005955117,0.014210777,0.019285937,0.025875092,0.024721146,0.012625576,0.013706392,-0.01896017,0.00211729
Nov-87,-0.000114444,-0.015026192,-0.004329609,0.001457475,0.006202959,0.008421587,0.010661134,0.016927693,0.011603289,0.03368161
Dec-87,0.029035867,-0.002650071,0.006978303,0.011897639,0.015987289,0.016678168,0.020321173,0.022400297,0.026637455,-0.069093538
Jan-88,0.020553408,0.025761735,0.032647151,0.032381154,0.032523789,0.038576446,0.043699233,0.03969463,0.04345544,0.068210604
Feb-88,-0.000247413,-0.001083875,0.007983873,0.008247463,0.009274555,0.009747166,0.011874348,0.017406052,0.027881024,0.076115186
Mar-88,-0.020143292,-0.026225525,-0.026104985,-0.015684454,-0.019724113,-0.021096151,-0.01853055,-0.005334121,0.009551834,0.056335303
Apr-88,0.000798536,-0.014690749,-0.020843205,-0.013965492,-0.017094306,-0.020533202,-0.01642241,-0.005010476,0.008874677,0.060386735
May-88,-0.006823346,-0.026566144,-0.023097064,-0.015255488,-0.015785583,-0.019372167,-0.011896973,-0.000835088,0.011432734,-0.127635013
Jun-88,0.017229086,0.003871307,0.013336957,0.017777665,0.019417291,0.020540735,0.024044526,0.030289052,0.047645201,0.10338539
Jul-88,-0.011073833,-0.023327934,-0.021988608,-0.010245874,-0.013223622,-0.015233066,-0.011165907,0.002656331,0.016239407,0.043400069
Aug-88,-0.000412293,-0.022622904,-0.005041229,-0.004933321,-0.00771375,-0.007386743,0.00068653,0.008448168,0.024753403,-0.233397275
Sep-88,0.008804521,0.001776382,0.013654261,0.012861088,0.014597938,0.017082021,0.021656685,0.02573846,0.029677441,0.141178407
Oct-88,0.05930355,0.01278817,0.013505904,0.01026398,0.017945785,0.017482874,0.024234446,0.045759188,0.043049871,0.122110305
Nov-88,0.018127818,-0.029646379,-0.014919077,-0.013347913,-0.01674712,-0.01268338,-0.00495566,0.026964874,0.03756754,0.102341166
